,End RFU,Source Well,rows,columns,Transfer Volume,Destination Well
0,1089.5358640392,A3,A,3,1817.0,A1
1,1165.42508397098,A4,A,4,1699.0,A1
2,1260.09042500259,A5,A,5,1571.0,A1
3,1150.77376831106,A6,A,6,1720.0,A1
4,1125.00985908855,B1,B,1,1760.0,A1
5,1066.4178619087,B2,B,2,1856.0,A1
6,1056.70082428699,B3,B,3,1873.0,A1
7,1214.46919842436,B4,B,4,1630.0,A1
8,1249.81249220541,B5,B,5,1584.0,A2
9,1246.2842540354,B6,B,6,1588.0,A2
10,1066.32358513971,C1,C,1,1857.0,A2
11,1093.45951945156,C2,C,2,1811.0,A2
12,1225.26696393677,C3,C,3,1616.0,A2
13,1381.74531639468,C4,C,4,1433.0,A2
14,1354.59356085605,C5,C,5,1461.0,A2
15,1609.16773407166,C6,C,6,1230.0,A2
16,1040.75792485029,D1,D,1,1902.0,A2
17,1061.39125441259,D2,D,2,1865.0,A3
18,1230.27457976992,D3,D,3,1609.0,A3
19,1448.57945152739,D5,D,5,1367.0,A3
20,1548.84144145895,D6,D,6,1278.0,A3
21,1174.57679205352,E1,E,1,1685.0,A3
22,1170.36488586039,E2,E,2,1692.0,A3
23,1249.1796435276,E3,E,3,1585.0,A3
24,1427.50807499598,E4,E,4,1387.0,A3
25,1631.08133622802,E5,E,5,1214.0,A3
26,1642.95617404381,E6,E,6,1205.0,A3
27,989.854453170325,F1,F,1,2000.0,A4
28,997.519865817159,F2,F,2,1985.0,A4
29,1310.82434066291,F3,F,3,1510.0,A4
30,1258.72507497188,F4,F,4,1573.0,A4
31,1517.48641764619,F5,F,5,1305.0,A4
32,1714.81584590971,F6,F,6,1154.0,A4
33,1075.63157186181,G1,G,1,1841.0,A4
34,1136.9712500876,G2,G,2,1741.0,A4
35,1267.24304538715,G3,G,3,1562.0,A4
36,1508.90955278705,G4,G,4,1312.0,A5
37,1748.22693867876,G5,G,5,1132.0,A5
38,1600.65356421583,G6,G,6,1237.0,A5
39,1062.5385642112,H1,H,1,1863.0,A5
40,1101.9945437836,H2,H,2,1796.0,A5
41,1253.03422531981,H3,H,3,1580.0,A5
42,1279.64975448878,H4,H,4,1547.0,A5
43,1459.79538164779,H5,H,5,1356.0,A5
44,1542.36370277215,H6,H,6,1284.0,A5
45,1193.41303788529,I1,I,1,1659.0,A5
46,1145.86404545005,I2,I,2,1728.0,A6
47,1343.94406151657,I3,I,3,1473.0,A6
48,1485.87103909725,I4,I,4,1332.0,A6
49,1842.36526361091,I5,I,5,1075.0,A6
50,1500.32579837592,I6,I,6,1320.0,A6
51,1094.79223804536,J1,J,1,1808.0,A6
52,1094.34977699859,J2,J,2,1809.0,A6
53,1257.44417807687,J3,J,3,1574.0,A6
54,1519.57054900452,J4,J,4,1303.0,A6
55,1559.04735280218,J5,J,5,1270.0,A6
56,1708.61767887336,J6,J,6,1159.0,A7
57,1243.57268496791,K1,K,1,1592.0,A7
58,1365.55240014302,K2,K,2,1450.0,A7
59,1511.25786291017,K3,K,3,1310.0,A7
60,1484.75662753044,K4,K,4,1333.0,A7
61,1840.73735492297,K5,K,5,1075.0,A7
62,1784.36137904233,K6,K,6,1109.0,A7
63,1167.02196990291,L1,L,1,1696.0,A7
64,1139.00687674074,L2,L,2,1738.0,A7
65,1382.56085119292,L3,L,3,1432.0,A7
66,1390.77104016687,L4,L,4,1423.0,A8
67,1482.15037929125,L5,L,5,1336.0,A8
68,1620.48340077953,L6,L,6,1222.0,A8
69,1348.94276718634,M1,M,1,1468.0,A8
70,1228.26381777174,M2,M,2,1612.0,A8
71,1426.63212163246,M3,M,3,1388.0,A8
72,1641.31609994976,M4,M,4,1206.0,A8
73,1661.56664754106,M5,M,5,1191.0,A8
74,1643.57569680823,M6,M,6,1205.0,A8
75,1103.57744385269,N1,N,1,1794.0,A8
76,1093.13718366712,N2,N,2,1811.0,A9
77,1320.41119488993,N3,N,3,1499.0,A9
78,1399.68822054081,N4,N,4,1414.0,A9
79,1658.30331396451,N5,N,5,1194.0,A9
80,1508.85879897547,N6,N,6,1312.0,A9
81,1150.86265918702,O1,O,1,1720.0,A9
82,1127.3923421527,O2,O,2,1756.0,A9
83,1373.85849558799,O3,O,3,1441.0,A9
84,1393.39785829659,O4,O,4,1421.0,A9
85,1707.7770196087,O5,O,5,1159.0,A9
86,1690.65257479778,O6,O,6,1171.0,A10
87,1004.31672548409,P1,P,1,1971.0,A10
88,1081.40518350817,P2,P,2,1831.0,A10
89,1193.91802725127,P3,P,3,1658.0,A10
90,1347.74702773939,P4,P,4,1469.0,A10
91,1575.75474161831,P5,P,5,1256.0,A10
92,1594.21472503028,P6,P,6,1242.0,A10
